location_slug,location_name,threat_types,interval_count,total_duration_hours,geocode_status,query,latitude,longitude,osm_type,osm_id,place_class,place_type,importance,display_name,boundingbox,source
м_Нікополь_та_Нікопольська_територіальна_громада,м. Нікополь та Нікопольська територіальна громада,air_raid;artillery_shelling,6031,21062.720,ok,"Нікополь, Україна",47.5692061,34.3917272,relation,2318332,,city,0.5420255100167726,"Нікополь, Нікопольська міська громада, Нікопольський район, Дніпропетровська область, 53200-53239, Україна",47.5467412;47.6057135;34.2845609;34.4657153,OpenStreetMap Nominatim
Донецька_область,Донецька область,air_raid,6851,12188.932,ok,"Донецька область, Україна",47.9212914,37.7809825,relation,71973,,administrative,0.674126849640414,"Донецька область, 83000-87999, Україна",46.6876770;49.2339965;36.5419522;39.0914413,OpenStreetMap Nominatim
м_Марганець_та_Марганецька_територіальна_громада,м Марганець та Марганецька територіальна громада,artillery_shelling,1586,10902.157,ok,"Марганець, Україна",47.6490555,34.6491940,relation,2762261,,town,0.4794252209824919,"Марганець, Марганецька міська громада, Нікопольський район, Дніпропетровська область, 53400-53490, Україна",47.6106483;47.6768161;34.5381531;34.6893897,OpenStreetMap Nominatim
Харківська_область,Харківська область,air_raid,6482,8926.324,ok,"Харківська область, Україна",49.8299582,36.3788957,relation,71254,,administrative,0.660878808948466,"Харківська область, Україна",48.5311780;50.4594753;34.8563132;38.0935290,OpenStreetMap Nominatim
Сумська_область,Сумська область,air_raid,4066,7922.384,ok,"Сумська область, Україна",50.7696518,34.3289305,relation,71250,,administrative,0.6535915492507101,"Сумська область, Україна",50.1102415;52.3667139;32.9426042;35.6926624,OpenStreetMap Nominatim
Запорізька_область,Запорізька область,air_raid,6679,7321.038,ok,"Запорізька область, Україна",47.4165079,35.9229690,relation,71980,,administrative,0.6449975749949785,"Запорізька область, Україна",46.1464862;48.1449302;34.1394646;37.2486286,OpenStreetMap Nominatim
Покровська_територіальна_громада,Покровська територіальна громада,air_raid;artillery_shelling,2545,7257.310,ok,"Покровська територіальна громада, Україна",48.2653321,37.1805923,way,220519341,,department_store,5.529640650029782e-05,"Україна, Меморіальна вулиця, Південний мікрорайон, Покровськ, Покровська міська громада, Покровський район, Донецька область, 85300, Україна",48.2651266;48.2655376;37.1802851;37.1808994,OpenStreetMap Nominatim
Синельниківський_район,Синельниківський район,air_raid,1470,6309.016,ok,"Синельниківський район, Україна",48.2395358,36.0605474,relation,1738047,,administrative,0.5148939282501245,"Синельниківський район, Дніпропетровська область, Україна",47.8153599;48.6636476;35.1808447;36.9368344,OpenStreetMap Nominatim
Червоногригорівська_територіальна_громада,Червоногригорівська територіальна громада,artillery_shelling,833,6231.941,ok,"Червоногригорівська, Україна",47.6816365,34.5236882,relation,10808531,,administrative,0.3382445921771202,"Червоногригорівська селищна громада, Нікопольський район, Дніпропетровська область, Україна",47.5252732;47.8372874;34.3474875;34.6708828,OpenStreetMap Nominatim
Дніпропетровська_область,Дніпропетровська область,air_raid,5542,5394.733,ok,"Дніпропетровська область, Україна",48.6625890,34.9501715,relation,101746,,administrative,0.6585527375594266,"Дніпропетровська область, Україна",47.4566155;49.1939422;32.9595518;36.9368344,OpenStreetMap Nominatim
